rating_diff,player,piece,count
522,white,knight,12
522,white,queen,8
522,white,king,0
522,black,pawn,0
522,black,rook,5
522,black,bishop,6
522,black,knight,8
522,black,queen,11
522,black,king,0
229,white,pawn,2
229,white,rook,14
229,white,bishop,17
229,white,knight,12
229,white,queen,10
229,white,king,1
229,black,pawn,8
229,black,rook,24
229,black,bishop,12
229,black,knight,9
229,black,queen,26
229,black,king,0
263,white,pawn,4
263,white,rook,10
263,white,bishop,8
263,white,knight,2
263,white,queen,16
263,white,king,0
263,black,pawn,2
263,black,rook,12
263,black,bishop,1
263,black,knight,4
263,black,queen,11
263,black,king,0
1465,white,pawn,0
1465,white,rook,1
1465,white,bishop,0
1465,white,knight,0
1465,white,queen,0
1465,white,king,0
1465,black,pawn,0
1465,black,rook,0
1465,black,bishop,0
1465,black,knight,0
1465,black,queen,1
1465,black,king,0
1458,white,pawn,0
1458,white,rook,0
1458,white,bishop,1
1458,white,knight,2
1458,white,queen,0
1458,white,king,0
1458,black,pawn,0
1458,black,rook,0
1458,black,bishop,0
1458,black,knight,0
1458,black,queen,1
1458,black,king,0
28,white,pawn,10
28,white,rook,82
28,white,bishop,41
28,white,knight,35
28,white,queen,100
28,white,king,0
28,black,pawn,11
28,black,rook,59
28,black,bishop,28
28,black,knight,37
28,black,queen,100
28,black,king,0
163,white,pawn,5
163,white,rook,13
163,white,bishop,8
163,white,knight,13
163,white,queen,26
163,white,king,0
163,black,pawn,2
163,black,rook,24
163,black,bishop,15
163,black,knight,16
163,black,queen,29
163,black,king,0
59,white,pawn,1
59,white,rook,45
59,white,bishop,39
59,white,knight,42
59,white,queen,78
59,white,king,0
59,black,pawn,13
59,black,rook,31
59,black,bishop,31
59,black,knight,42
59,black,queen,86
59,black,king,1
372,white,pawn,2
372,white,rook,13
372,white,bishop,13
372,white,knight,8
372,white,queen,25
372,white,king,1
372,black,pawn,2
372,black,rook,12
372,black,bishop,10
372,black,knight,4
372,black,queen,14
372,black,king,0
6,white,pawn,19
6,white,rook,99
6,white,bishop,43
6,white,knight,76
6,white,queen,110
6,white,king,1
6,black,pawn,16
6,black,rook,85
6,black,bishop,42
6,black,knight,42
6,black,queen,116
6,black,king,0
27,white,pawn,15
27,white,rook,66
27,white,bishop,51
27,white,knight,61
27,white,queen,94
27,white,king,1
27,black,pawn,13
27,black,rook,57
27,black,bishop,35
27,black,knight,35
27,black,queen,122
27,black,king,1
358,white,pawn,0
358,white,rook,3
358,white,bishop,3
358,white,knight,0
358,white,queen,6
358,white,king,0
358,black,pawn,1
358,black,rook,6
358,black,bishop,6
358,black,knight,6
358,black,queen,3
358,black,king,0
50,white,pawn,10
50,white,rook,73
50,white,bishop,34
50,white,knight,23
50,white,queen,63
50,white,king,0
50,black,pawn,8
50,black,rook,59
50,black,bishop,34
50,black,knight,34
50,black,queen,83
50,black,king,0
181,white,pawn,4
181,white,rook,19
181,white,bishop,22
181,white,knight,11
181,white,queen,18
181,white,king,2
181,black,pawn,5
181,black,rook,16
181,black,bishop,12
181,black,knight,14
181,black,queen,23
181,black,king,0
35,white,pawn,13
35,white,rook,85
35,white,bishop,28
35,white,knight,25
35,white,queen,66
35,white,king,1
35,black,pawn,14
35,black,rook,65
35,black,bishop,31
35,black,knight,35
35,black,queen,68
35,black,king,0
83,white,pawn,9
83,white,rook,65
83,white,bishop,18
83,white,knight,30
83,white,queen,46
83,white,king,0
83,black,pawn,5
83,black,rook,53
83,black,bishop,26
83,black,knight,21
83,black,queen,49
83,black,king,0
228,white,pawn,3
228,white,rook,32
228,white,bishop,13
228,white,knight,9
228,white,queen,14
228,white,king,0
228,black,pawn,4
228,black,rook,28
228,black,bishop,14
228,black,knight,7
228,black,queen,26
228,black,king,0
381,white,pawn,3
381,white,rook,23
381,white,bishop,2
381,white,knight,3
381,white,queen,8
381,white,king,0
381,black,pawn,2
381,black,rook,8
381,black,bishop,2
381,black,knight,9
381,black,queen,5
381,black,king,0
48,white,pawn,26
48,white,rook,83
48,white,bishop,33
48,white,knight,53
48,white,queen,90
48,white,king,3
48,black,pawn,14
48,black,rook,79
48,black,bishop,29
48,black,knight,29
48,black,queen,45
48,black,king,0
