rating_diff,player,promote_to,count
198,white,queen,2
198,black,rook,0
198,black,bishop,0
198,black,knight,0
198,black,queen,3
136,white,rook,0
136,white,bishop,0
136,white,knight,0
136,white,queen,4
136,black,rook,0
136,black,bishop,0
136,black,knight,0
136,black,queen,6
594,white,rook,0
594,white,bishop,0
594,white,knight,0
594,white,queen,1
594,black,rook,1
594,black,bishop,0
594,black,knight,0
594,black,queen,0
504,white,rook,0
504,white,bishop,0
504,white,knight,0
504,white,queen,1
504,black,rook,0
504,black,bishop,0
504,black,knight,0
504,black,queen,3
254,white,rook,0
254,white,bishop,0
254,white,knight,0
254,white,queen,4
254,black,rook,0
254,black,bishop,0
254,black,knight,0
254,black,queen,6
632,white,rook,0
632,white,bishop,0
632,white,knight,0
632,white,queen,0
632,black,rook,0
632,black,bishop,0
632,black,knight,0
632,black,queen,1
64,white,rook,0
64,white,bishop,0
64,white,knight,0
64,white,queen,7
64,black,rook,1
64,black,bishop,0
64,black,knight,0
64,black,queen,5
93,white,rook,0
93,white,bishop,0
93,white,knight,0
93,white,queen,1
93,black,rook,0
93,black,bishop,0
93,black,knight,0
93,black,queen,4
44,white,rook,0
44,white,bishop,0
44,white,knight,0
44,white,queen,8
44,black,rook,0
44,black,bishop,0
44,black,knight,0
44,black,queen,7
185,white,rook,0
185,white,bishop,0
185,white,knight,0
185,white,queen,2
185,black,rook,0
185,black,bishop,0
185,black,knight,0
185,black,queen,1
76,white,rook,0
76,white,bishop,1
76,white,knight,0
76,white,queen,8
76,black,rook,0
76,black,bishop,0
76,black,knight,0
76,black,queen,1
203,white,rook,0
203,white,bishop,1
203,white,knight,0
203,white,queen,7
203,black,rook,0
203,black,bishop,0
203,black,knight,0
203,black,queen,3
176,white,rook,0
176,white,bishop,1
176,white,knight,0
176,white,queen,4
176,black,rook,1
176,black,bishop,0
176,black,knight,0
176,black,queen,1
107,white,rook,0
107,white,bishop,0
107,white,knight,0
107,white,queen,2
107,black,rook,0
107,black,bishop,0
107,black,knight,0
107,black,queen,1
242,white,rook,0
242,white,bishop,0
242,white,knight,0
242,white,queen,0
242,black,rook,0
242,black,bishop,0
242,black,knight,0
242,black,queen,1
197,white,rook,0
197,white,bishop,0
197,white,knight,0
197,white,queen,1
197,black,rook,0
197,black,bishop,0
197,black,knight,0
197,black,queen,2
36,white,rook,0
36,white,bishop,0
36,white,knight,0
36,white,queen,19
36,black,rook,0
36,black,bishop,0
36,black,knight,1
36,black,queen,20
137,white,rook,0
137,white,bishop,0
137,white,knight,0
137,white,queen,10
137,black,rook,0
137,black,bishop,0
137,black,knight,0
137,black,queen,3
62,white,rook,0
62,white,bishop,0
62,white,knight,0
62,white,queen,5
62,black,rook,0
62,black,bishop,0
62,black,knight,0
62,black,queen,9
154,white,rook,0
154,white,bishop,0
154,white,knight,0
154,white,queen,6
154,black,rook,0
154,black,bishop,0
154,black,knight,0
154,black,queen,4
70,white,rook,0
70,white,bishop,0
70,white,knight,0
70,white,queen,7
70,black,rook,0
70,black,bishop,0
70,black,knight,0
70,black,queen,9
217,white,rook,1
217,white,bishop,0
217,white,knight,0
217,white,queen,6
217,black,rook,2
217,black,bishop,0
217,black,knight,0
217,black,queen,4
271,white,rook,0
271,white,bishop,0
271,white,knight,0
271,white,queen,3
271,black,rook,0
271,black,bishop,0
271,black,knight,0
271,black,queen,4
53,white,rook,0
53,white,bishop,0
53,white,knight,1
53,white,queen,8
53,black,rook,0
53,black,bishop,0
53,black,knight,0
53,black,queen,5
68,white,rook,0
68,white,bishop,0
68,white,knight,0
68,white,queen,6
68,black,rook,0
68,black,bishop,0
68,black,knight,0
68,black,queen,2
175,white,rook,0
175,white,bishop,0
175,white,knight,0
175,white,queen,7
175,black,rook,0
175,black,bishop,0
175,black,knight,0
175,black,queen,2
135,white,rook,0
135,white,bishop,0
135,white,knight,0
135,white,queen,6
135,black,rook,0
135,black,bishop,1
135,black,knight,0
135,black,queen,8
462,white,rook,0
462,white,bishop,0
462,white,knight,0
462,white,queen,1
462,black,rook,0
462,black,bishop,0
462,black,knight,0
462,black,queen,1
104,white,rook,0
104,white,bishop,0
104,white,knight,0
104,white,queen,9
104,black,rook,0
104,black,bishop,0
104,black,knight,0
104,black,queen,3
9,white,rook,0
9,white,bishop,0
9,white,knight,0
9,white,queen,7
9,black,rook,0
9,black,bishop,0
9,black,knight,0
9,black,queen,8
40,white,rook,1
40,white,bishop,0
40,white,knight,0
40,white,queen,9
40,black,rook,0
40,black,bishop,0
40,black,knight,0
40,black,queen,0
391,white,rook,0
391,white,bishop,0
391,white,knight,0
391,white,queen,2
391,black,rook,0
391,black,bishop,0
391,black,knight,0
391,black,queen,0
77,white,rook,0
77,white,bishop,0
77,white,knight,0
77,white,queen,9
77,black,rook,0
77,black,bishop,0
77,black,knight,0
77,black,queen,3
179,white,rook,0
179,white,bishop,0
179,white,knight,0
179,white,queen,4
179,black,rook,0
179,black,bishop,0
179,black,knight,0
179,black,queen,6
471,white,rook,0
471,white,bishop,0
471,white,knight,0
471,white,queen,1
471,black,rook,0
471,black,bishop,0
471,black,knight,0
471,black,queen,0
626,white,rook,0
626,white,bishop,0
626,white,knight,0
626,white,queen,0
626,black,rook,1
626,black,bishop,0
626,black,knight,0
626,black,queen,0
119,white,rook,0
119,white,bishop,0
119,white,knight,0
119,white,queen,5
119,black,rook,0
119,black,bishop,0
119,black,knight,0
119,black,queen,6
838,white,rook,0
838,white,bishop,0
838,white,knight,0
838,white,queen,0
838,black,rook,0
838,black,bishop,0
838,black,knight,0
838,black,queen,1
890,white,rook,0
890,white,bishop,0
890,white,knight,0
890,white,queen,0
890,black,rook,0
890,black,bishop,0
890,black,knight,0
890,black,queen,2
622,white,rook,0
622,white,bishop,0
622,white,knight,0
622,white,queen,1
622,black,rook,0
622,black,bishop,0
622,black,knight,0
622,black,queen,0
658,white,rook,0
658,white,bishop,0
658,white,knight,0
658,white,queen,0
658,black,rook,0
658,black,bishop,0
658,black,knight,0
658,black,queen,1
718,white,rook,0
718,white,bishop,0
718,white,knight,0
718,white,queen,1
718,black,rook,0
718,black,bishop,0
718,black,knight,0
718,black,queen,0
935,white,rook,0
935,white,bishop,0
935,white,knight,0
935,white,queen,0
935,black,rook,0
935,black,bishop,0
935,black,knight,0
935,black,queen,1
370,white,rook,1
370,white,bishop,0
370,white,knight,0
370,white,queen,3
370,black,rook,0
370,black,bishop,0
370,black,knight,0
370,black,queen,3
186,white,rook,1
186,white,bishop,0
186,white,knight,0
186,white,queen,5
186,black,rook,0
186,black,bishop,0
186,black,knight,0
186,black,queen,2
144,white,rook,0
144,white,bishop,0
144,white,knight,0
144,white,queen,2
144,black,rook,1
144,black,bishop,0
144,black,knight,0
144,black,queen,5
95,white,rook,0
95,white,bishop,0
95,white,knight,0
95,white,queen,11
95,black,rook,0
95,black,bishop,0
95,black,knight,0
95,black,queen,6
349,white,rook,0
349,white,bishop,0
349,white,knight,0
349,white,queen,1
349,black,rook,0
349,black,bishop,0
349,black,knight,0
349,black,queen,1
143,white,rook,0
143,white,bishop,0
143,white,knight,0
143,white,queen,5
143,black,rook,0
143,black,bishop,0
143,black,knight,0
143,black,queen,3
830,white,rook,0
830,white,bishop,0
830,white,knight,0
830,white,queen,1
830,black,rook,0
830,black,bishop,0
830,black,knight,0
830,black,queen,0
208,white,rook,0
208,white,bishop,0
208,white,knight,1
208,white,queen,4
208,black,rook,0
208,black,bishop,0
208,black,knight,0
208,black,queen,5
486,white,rook,0
486,white,bishop,0
486,white,knight,0
486,white,queen,1
486,black,rook,0
486,black,bishop,0
486,black,knight,0
486,black,queen,2
45,white,rook,0
45,white,bishop,0
45,white,knight,0
45,white,queen,4
45,black,rook,0
45,black,bishop,0
45,black,knight,0
45,black,queen,7
220,white,rook,0
220,white,bishop,1
220,white,knight,0
220,white,queen,4
220,black,rook,0
220,black,bishop,0
220,black,knight,0
220,black,queen,3
133,white,rook,0
133,white,bishop,0
133,white,knight,0
133,white,queen,6
133,black,rook,0
133,black,bishop,0
133,black,knight,0
133,black,queen,0
1049,white,rook,0
1049,white,bishop,0
1049,white,knight,0
1049,white,queen,0
1049,black,rook,2
1049,black,bishop,0
1049,black,knight,0
1049,black,queen,2
102,white,rook,0
102,white,bishop,0
102,white,knight,0
102,white,queen,5
102,black,rook,0
102,black,bishop,0
102,black,knight,1
102,black,queen,1
57,white,rook,1
57,white,bishop,0
57,white,knight,1
57,white,queen,12
57,black,rook,0
57,black,bishop,0
57,black,knight,0
57,black,queen,9
4,white,rook,0
4,white,bishop,0
4,white,knight,0
4,white,queen,9
4,black,rook,1
4,black,bishop,0
4,black,knight,0
4,black,queen,6
188,white,rook,0
188,white,bishop,0
188,white,knight,0
188,white,queen,5
188,black,rook,0
188,black,bishop,0
188,black,knight,0
188,black,queen,5
801,white,rook,0
801,white,bishop,0
801,white,knight,0
801,white,queen,1
801,black,rook,0
801,black,bishop,0
801,black,knight,0
801,black,queen,0
35,white,rook,0
35,white,bishop,0
35,white,knight,0
35,white,queen,5
35,black,rook,0
35,black,bishop,0
35,black,knight,0
35,black,queen,11
112,white,rook,0
112,white,bishop,0
112,white,knight,0
112,white,queen,5
112,black,rook,0
112,black,bishop,0
112,black,knight,0
112,black,queen,2
82,white,rook,0
82,white,bishop,0
82,white,knight,0
82,white,queen,11
82,black,rook,1
82,black,bishop,0
82,black,knight,0
82,black,queen,9
421,white,rook,0
