square,count
white,queen,57,191
white,queen,63,220
white,queen,56,299
white,queen,58,193
white,queen,62,172
white,queen,59,177
white,queen,60,148
white,queen,61,178
white,rook,60,3
white,rook,62,2
white,rook,59,2
white,rook,56,4
white,rook,63,3
white,rook,57,3
white,rook,58,9
white,rook,61,4
white,knight,58,1
white,knight,57,2
white,knight,59,5
white,knight,60,1
white,knight,56,2
white,knight,61,3
white,knight,63,2
white,knight,62,1
white,bishop,61,2
white,bishop,56,3
white,bishop,57,3
white,bishop,63,2
white,bishop,59,1
black,queen,4,139
black,queen,2,192
black,queen,5,157
black,queen,7,203
black,queen,3,162
black,queen,6,157
black,queen,1,206
black,queen,0,282
black,rook,1,3
black,rook,3,7
black,rook,6,6
black,rook,4,4
black,rook,5,5
black,rook,7,5
black,rook,0,4
black,rook,2,4
black,bishop,0,3
black,bishop,7,2
black,bishop,1,2
black,bishop,2,3
black,bishop,6,1
black,bishop,3,1
black,knight,7,3
black,knight,5,3
black,knight,0,1
black,knight,2,1
black,knight,4,1
black,knight,1,1
