rating_diff,player,piece,square,count
white,pawn,27,17476
white,pawn,26,8820
white,pawn,35,9117
white,pawn,44,1454
white,pawn,28,17748
white,pawn,29,6488
white,pawn,36,8276
white,pawn,19,5715
white,pawn,24,4540
white,pawn,33,2695
white,pawn,42,1499
white,pawn,18,8428
white,pawn,53,407
white,pawn,20,5440
white,pawn,22,5827
white,pawn,16,5804
white,pawn,25,6020
white,pawn,21,5391
white,pawn,41,932
white,pawn,49,423
white,pawn,37,2914
white,pawn,23,6946
white,pawn,45,1648
white,pawn,34,3548
white,pawn,30,5643
white,pawn,17,4756
white,pawn,38,2616
white,pawn,43,1633
white,pawn,32,1889
white,pawn,40,931
white,pawn,51,462
white,pawn,47,832
white,pawn,46,1118
white,pawn,31,4386
white,pawn,48,513
white,pawn,39,1951
white,pawn,55,417
white,pawn,52,380
white,pawn,54,406
white,pawn,50,443
white,rook,16,581
white,rook,56,855
white,rook,63,637
white,rook,55,905
white,rook,47,726
white,rook,2,4714
white,rook,0,1317
white,rook,48,1430
white,rook,3,6898
white,rook,19,1128
white,rook,21,1186
white,rook,45,882
white,rook,22,817
white,rook,38,661
white,rook,39,684
white,rook,23,584
white,rook,51,1559
white,rook,49,1458
white,rook,31,561
white,rook,53,1250
white,rook,35,1149
white,rook,5,2842
white,rook,6,2092
white,rook,1,3626
white,rook,30,600
white,rook,14,519
white,rook,29,883
white,rook,4,8927
white,rook,59,1568
white,rook,60,1430
white,rook,20,1398
white,rook,8,621
white,rook,57,710
white,rook,44,1100
white,rook,15,435
white,rook,13,1230
white,rook,25,544
white,rook,27,1052
white,rook,52,1500
white,rook,50,1549
white,rook,36,1352
white,rook,43,1237
white,rook,61,864
white,rook,46,620
white,rook,28,1182
white,rook,17,597
white,rook,41,801
white,rook,33,749
white,rook,18,775
white,rook,40,1003
white,rook,34,935
white,rook,10,912
white,rook,37,830
white,rook,58,997
white,rook,42,1049
white,rook,54,982
white,rook,11,1424
white,rook,9,613
white,rook,12,1334
white,rook,26,698
white,rook,7,857
white,rook,24,612
white,rook,32,810
white,rook,62,523
white,bishop,29,4939
white,bishop,20,5557
white,bishop,12,4794
white,bishop,34,1154
white,bishop,61,469
white,bishop,54,820
white,bishop,39,560
white,bishop,30,864
white,bishop,3,421
white,bishop,50,620
white,bishop,59,390
white,bishop,38,5987
white,bishop,45,2763
white,bishop,19,5768
white,bishop,33,5414
white,bishop,11,3891
white,bishop,26,7835
white,bishop,17,2225
white,bishop,10,995
white,bishop,28,1830
white,bishop,40,641
white,bishop,52,1115
white,bishop,14,2243
white,bishop,47,1618
white,bishop,44,1350
white,bishop,35,2249
white,bishop,16,985
white,bishop,24,1165
white,bishop,56,351
white,bishop,49,601
white,bishop,53,1049
white,bishop,41,510
white,bishop,48,334
white,bishop,51,1080
white,bishop,27,1690
white,bishop,46,643
white,bishop,42,2683
white,bishop,21,1869
white,bishop,37,946
white,bishop,9,2308
white,bishop,36,1876
white,bishop,25,846
white,bishop,22,1364
white,bishop,31,1180
white,bishop,18,1452
white,bishop,2,578
white,bishop,43,1271
white,bishop,15,276
white,bishop,4,289
white,bishop,55,421
white,bishop,63,217
white,bishop,1,271
white,bishop,8,497
white,bishop,23,555
white,bishop,60,212
white,bishop,5,540
white,bishop,32,412
white,bishop,62,186
white,bishop,13,476
white,bishop,57,229
white,bishop,58,200
white,bishop,6,62
white,bishop,0,119
white,bishop,7,71
white,knight,21,20143
white,knight,18,15058
white,knight,11,5398
white,knight,26,1918
white,knight,16,1169
white,knight,33,2697
white,knight,48,294
white,knight,42,2064
white,knight,31,1350
white,knight,46,826
white,knight,35,4634
white,knight,50,1188
white,knight,56,378
white,knight,45,1653
white,knight,12,3162
white,knight,2,183
white,knight,19,813
white,knight,38,3557
white,knight,53,1274
white,knight,28,4487
