rating_diff,player,piece_moved,piece_taken,count
15,black,bishop,pawn,56
15,black,bishop,rook,19
15,black,bishop,bishop,41
15,black,bishop,knight,60
15,black,bishop,queen,8
15,black,knight,pawn,63
15,black,knight,rook,6
15,black,knight,bishop,36
15,black,knight,knight,33
15,black,knight,queen,9
15,black,queen,pawn,96
15,black,queen,rook,12
15,black,queen,bishop,27
15,black,queen,knight,18
15,black,queen,queen,20
15,black,king,pawn,24
15,black,king,rook,11
15,black,king,bishop,8
15,black,king,knight,7
15,black,king,queen,5
54,white,pawn,pawn,129
54,white,pawn,rook,2
54,white,pawn,bishop,30
54,white,pawn,knight,33
54,white,pawn,queen,5
54,white,rook,pawn,52
54,white,rook,rook,37
54,white,rook,bishop,15
54,white,rook,knight,11
54,white,rook,queen,16
54,white,bishop,pawn,46
54,white,bishop,rook,12
54,white,bishop,bishop,33
54,white,bishop,knight,50
54,white,bishop,queen,9
54,white,knight,pawn,62
54,white,knight,rook,8
54,white,knight,bishop,32
54,white,knight,knight,28
54,white,knight,queen,8
54,white,queen,pawn,58
54,white,queen,rook,16
54,white,queen,bishop,17
54,white,queen,knight,24
54,white,queen,queen,20
54,white,king,pawn,17
54,white,king,rook,10
54,white,king,bishop,7
54,white,king,knight,4
54,white,king,queen,5
54,black,pawn,pawn,133
54,black,pawn,rook,4
54,black,pawn,bishop,36
54,black,pawn,knight,22
54,black,pawn,queen,6
54,black,rook,pawn,46
54,black,rook,rook,39
54,black,rook,bishop,10
54,black,rook,knight,11
54,black,rook,queen,7
54,black,bishop,pawn,36
54,black,bishop,rook,9
54,black,bishop,bishop,37
54,black,bishop,knight,48
54,black,bishop,queen,10
54,black,knight,pawn,54
54,black,knight,rook,9
54,black,knight,bishop,28
54,black,knight,knight,37
54,black,knight,queen,6
54,black,queen,pawn,53
54,black,queen,rook,12
54,black,queen,bishop,21
54,black,queen,knight,24
54,black,queen,queen,30
54,black,king,pawn,23
54,black,king,rook,11
54,black,king,bishop,3
54,black,king,knight,4
54,black,king,queen,3
97,white,pawn,pawn,75
97,white,pawn,rook,1
97,white,pawn,bishop,16
97,white,pawn,knight,14
97,white,pawn,queen,2
97,white,rook,pawn,20
97,white,rook,rook,17
97,white,rook,bishop,6
97,white,rook,knight,10
97,white,rook,queen,8
97,white,bishop,pawn,30
97,white,bishop,rook,8
97,white,bishop,bishop,15
97,white,bishop,knight,29
97,white,bishop,queen,4
97,white,knight,pawn,31
97,white,knight,rook,5
97,white,knight,bishop,16
97,white,knight,knight,19
97,white,knight,queen,1
97,white,queen,pawn,35
97,white,queen,rook,17
97,white,queen,bishop,17
97,white,queen,knight,8
97,white,queen,queen,16
97,white,king,pawn,7
97,white,king,rook,4
97,white,king,bishop,4
97,white,king,knight,1
97,white,king,queen,1
97,black,pawn,pawn,79
97,black,pawn,rook,1
97,black,pawn,bishop,14
97,black,pawn,knight,20
97,black,pawn,queen,3
97,black,rook,pawn,32
97,black,rook,rook,24
97,black,rook,bishop,5
97,black,rook,knight,7
97,black,rook,queen,3
97,black,bishop,pawn,36
97,black,bishop,rook,7
97,black,bishop,bishop,17
97,black,bishop,knight,24
97,black,bishop,queen,5
97,black,knight,pawn,54
97,black,knight,rook,9
97,black,knight,bishop,11
97,black,knight,knight,16
97,black,knight,queen,3
97,black,queen,pawn,15
97,black,queen,rook,4
97,black,queen,bishop,9
97,black,queen,knight,14
97,black,queen,queen,13
97,black,king,pawn,8
97,black,king,rook,3
97,black,king,bishop,5
97,black,king,knight,2
97,black,king,queen,5
47,white,pawn,pawn,110
47,white,pawn,rook,3
47,white,pawn,bishop,26
47,white,pawn,knight,23
47,white,pawn,queen,5
47,white,rook,pawn,58
47,white,rook,rook,27
47,white,rook,bishop,13
47,white,rook,knight,7
47,white,rook,queen,8
47,white,bishop,pawn,45
47,white,bishop,rook,13
47,white,bishop,bishop,27
47,white,bishop,knight,52
47,white,bishop,queen,4
47,white,knight,pawn,52
47,white,knight,rook,13
47,white,knight,bishop,29
47,white,knight,knight,37
47,white,knight,queen,6
47,white,queen,pawn,41
47,white,queen,rook,14
47,white,queen,bishop,24
47,white,queen,knight,24
47,white,queen,queen,25
47,white,king,pawn,9
47,white,king,rook,3
47,white,king,bishop,9
47,white,king,knight,2
47,white,king,queen,0
47,black,pawn,pawn,130
47,black,pawn,rook,0
47,black,pawn,bishop,30
47,black,pawn,knight,25
47,black,pawn,queen,4
47,black,rook,pawn,30
47,black,rook,rook,30
47,black,rook,bishop,19
47,black,rook,knight,7
47,black,rook,queen,10
47,black,bishop,pawn,48
47,black,bishop,rook,19
47,black,bishop,bishop,29
47,black,bishop,knight,38
47,black,bishop,queen,7
47,black,knight,pawn,43
47,black,knight,rook,7
47,black,knight,bishop,31
47,black,knight,knight,34
47,black,knight,queen,4
47,black,queen,pawn,67
47,black,queen,rook,13
47,black,queen,bishop,21
47,black,queen,knight,15
47,black,queen,queen,20
47,black,king,pawn,10
47,black,king,rook,11
47,black,king,bishop,5
47,black,king,knight,9
47,black,king,queen,2
172,white,pawn,pawn,26
172,white,pawn,rook,0
172,white,pawn,bishop,3
172,white,pawn,knight,6
172,white,pawn,queen,1
172,white,rook,pawn,8
172,white,rook,rook,9
172,white,rook,bishop,4
172,white,rook,knight,4
172,white,rook,queen,0
172,white,bishop,pawn,10
172,white,bishop,rook,1
172,white,bishop,bishop,4
172,white,bishop,knight,16
172,white,bishop,queen,3
172,white,knight,pawn,17
172,white,knight,rook,2
172,white,knight,bishop,8
172,white,knight,knight,7
172,white,knight,queen,4
172,white,queen,pawn,12
172,white,queen,rook,1
172,white,queen,bishop,9
172,white,queen,knight,5
172,white,queen,queen,5
172,white,king,pawn,1
172,white,king,rook,3
172,white,king,bishop,1
172,white,king,knight,1
172,white,king,queen,1
172,black,pawn,pawn,25
172,black,pawn,rook,3
172,black,pawn,bishop,3
172,black,pawn,knight,7
172,black,pawn,queen,1
172,black,rook,pawn,11
172,black,rook,rook,5
172,black,rook,bishop,5
172,black,rook,knight,4
172,black,rook,queen,1
172,black,bishop,pawn,9
172,black,bishop,rook,4
172,black,bishop,bishop,12
172,black,bishop,knight,12
172,black,bishop,queen,0
172,black,knight,pawn,7
172,black,knight,rook,3
172,black,knight,bishop,7
172,black,knight,knight,8
172,black,knight,queen,3
172,black,queen,pawn,17
172,black,queen,rook,1
172,black,queen,bishop,2
172,black,queen,knight,4
172,black,queen,queen,5
172,black,king,pawn,2
172,black,king,rook,1
172,black,king,bishop,1
172,black,king,knight,2
172,black,king,queen,1
109,white,pawn,pawn,57
109,white,pawn,rook,2
109,white,pawn,bishop,7
109,white,pawn,knight,15
109,white,pawn,queen,1
109,white,rook,pawn,34
109,white,rook,rook,11
109,white,rook,bishop,12
109,white,rook,knight,7
109,white,rook,queen,4
109,white,bishop,pawn,23
109,white,bishop,rook,7
109,white,bishop,bishop,13
109,white,bishop,knight,23
109,white,bishop,queen,7
109,white,knight,pawn,25
109,white,knight,rook,4
109,white,knight,bishop,11
109,white,knight,knight,12
109,white,knight,queen,4
109,white,queen,pawn,34
109,white,queen,rook,9
109,white,queen,bishop,14
109,white,queen,knight,11
109,white,queen,queen,8
109,white,king,pawn,2
109,white,king,rook,3
109,white,king,bishop,3
109,white,king,knight,1
109,white,king,queen,2
109,black,pawn,pawn,56
109,black,pawn,rook,1
109,black,pawn,bishop,20
109,black,pawn,knight,11
109,black,pawn,queen,2
109,black,rook,pawn,21
109,black,rook,rook,15
109,black,rook,bishop,10
109,black,rook,knight,6
109,black,rook,queen,2
109,black,bishop,pawn,24
109,black,bishop,rook,9
109,black,bishop,bishop,16
109,black,bishop,knight,16
109,black,bishop,queen,2
109,black,knight,pawn,20
109,black,knight,rook,2
109,black,knight,bishop,7
109,black,knight,knight,19
109,black,knight,queen,3
109,black,queen,pawn,18
109,black,queen,rook,8
109,black,queen,bishop,3
109,black,queen,knight,9
109,black,queen,queen,12
109,black,king,pawn,5
109,black,king,rook,2
109,black,king,bishop,8
109,black,king,knight,7
109,black,king,queen,2
486,white,pawn,pawn,6
486,white,pawn,rook,0
486,white,pawn,bishop,5
486,white,pawn,knight,4
486,white,pawn,queen,0
486,white,rook,pawn,2
486,white,rook,rook,1
486,white,rook,bishop,0
486,white,rook,knight,1
486,white,rook,queen,1
486,white,bishop,pawn,4
486,white,bishop,rook,0
486,white,bishop,bishop,1
486,white,bishop,knight,0
486,white,bishop,queen,1
486,white,knight,pawn,4
486,white,knight,rook,0
486,white,knight,bishop,0
486,white,knight,knight,5
486,white,knight,queen,1
486,white,queen,pawn,5
486,white,queen,rook,1
486,white,queen,bishop,2
486,white,queen,knight,1
486,white,queen,queen,0
486,white,king,pawn,0
486,white,king,rook,1
486,white,king,bishop,0
486,white,king,knight,0
486,white,king,queen,1
486,black,pawn,pawn,8
486,black,pawn,rook,1
486,black,pawn,bishop,1
486,black,pawn,knight,3
486,black,pawn,queen,0
486,black,rook,pawn,4
486,black,rook,rook,0
486,black,rook,bishop,1
486,black,rook,knight,1
486,black,rook,queen,0
486,black,bishop,pawn,5
486,black,bishop,rook,3
486,black,bishop,bishop,3
486,black,bishop,knight,2
486,black,bishop,queen,0
486,black,knight,pawn,3
486,black,knight,rook,0
486,black,knight,bishop,2
486,black,knight,knight,2
486,black,knight,queen,0
486,black,queen,pawn,5
486,black,queen,rook,0
486,black,queen,bishop,1
486,black,queen,knight,1
486,black,queen,queen,3
486,black,king,pawn,0
486,black,king,rook,2
