rating_diff,player,square,count
4,black,51,124
4,black,60,58
4,black,58,51
4,black,41,74
4,black,18,53
4,black,9,34
4,black,57,43
4,black,53,41
4,black,63,28
4,black,49,42
4,black,55,32
4,black,61,41
4,black,48,18
4,black,30,78
4,black,31,26
4,black,22,23
4,black,12,30
4,black,14,14
4,black,7,14
4,black,17,22
4,black,29,74
4,black,0,14
4,black,11,29
4,black,20,54
4,black,56,25
4,black,13,29
4,black,5,12
4,black,2,15
4,black,23,20
4,black,6,11
4,black,15,12
4,black,1,13
4,black,8,17
15,white,27,193
15,white,21,240
15,white,18,181
15,white,29,117
15,white,20,130
15,white,12,124
15,white,6,125
15,white,33,78
15,white,2,47
15,white,0,10
15,white,48,37
15,white,50,40
15,white,11,98
15,white,42,47
15,white,59,24
15,white,25,56
15,white,57,5
15,white,36,146
15,white,60,26
15,white,53,49
15,white,31,58
15,white,22,91
15,white,30,87
15,white,45,62
15,white,46,29
15,white,54,28
15,white,28,181
15,white,26,134
15,white,35,134
15,white,51,40
15,white,4,100
15,white,19,135
15,white,3,62
15,white,37,53
15,white,23,68
15,white,43,68
15,white,52,35
15,white,14,33
15,white,49,34
15,white,38,94
15,white,10,41
15,white,55,19
15,white,34,61
15,white,47,33
15,white,44,46
15,white,56,20
15,white,32,27
15,white,39,48
15,white,17,61
15,white,24,68
15,white,61,20
15,white,62,9
15,white,1,33
15,white,9,22
15,white,41,31
15,white,15,29
15,white,13,52
15,white,5,53
15,white,40,25
15,white,16,52
15,white,58,10
15,white,7,29
15,white,63,10
15,white,8,13
15,black,35,182
15,black,37,105
15,black,45,242
15,black,30,83
15,black,42,192
15,black,51,118
15,black,58,61
15,black,25,74
15,black,8,34
15,black,57,34
15,black,10,47
15,black,59,60
15,black,36,171
15,black,52,124
15,black,28,111
15,black,44,126
15,black,38,74
15,black,39,64
15,black,47,66
15,black,46,100
15,black,54,56
15,black,34,127
15,black,43,142
15,black,27,121
15,black,41,75
15,black,32,62
15,black,26,64
15,black,20,36
15,black,40,69
15,black,53,49
15,black,29,50
15,black,62,115
15,black,56,19
15,black,22,34
15,black,60,80
15,black,49,38
15,black,33,52
15,black,55,25
15,black,17,23
15,black,16,34
15,black,24,32
15,black,48,15
15,black,18,63
15,black,19,44
15,black,12,32
15,black,3,21
15,black,0,17
15,black,6,11
15,black,2,21
15,black,50,40
15,black,61,52
15,black,63,29
15,black,21,51
15,black,23,29
15,black,14,22
15,black,15,21
15,black,13,29
15,black,11,21
15,black,31,45
15,black,9,44
15,black,7,11
15,black,4,24
15,black,5,18
15,black,1,14
54,white,28,170
54,white,21,189
54,white,27,172
54,white,35,111
54,white,16,44
54,white,18,157
54,white,25,44
54,white,38,90
54,white,33,59
54,white,45,62
54,white,19,108
54,white,6,112
54,white,24,56
54,white,50,37
54,white,56,16
54,white,3,56
54,white,43,44
54,white,22,65
54,white,39,26
54,white,23,57
54,white,51,25
54,white,13,60
54,white,49,27
54,white,48,21
54,white,31,45
54,white,14,27
54,white,41,27
54,white,37,40
54,white,57,15
54,white,53,29
54,white,62,6
54,white,55,16
54,white,12,99
54,white,36,116
54,white,20,92
54,white,11,91
54,white,29,78
54,white,47,18
54,white,7,24
54,white,2,38
54,white,34,49
54,white,30,72
54,white,5,27
54,white,26,111
54,white,4,72
54,white,1,31
54,white,42,59
54,white,10,35
54,white,9,31
54,white,60,23
54,white,61,11
54,white,15,27
54,white,17,74
54,white,59,18
54,white,44,37
54,white,32,23
54,white,8,16
54,white,0,10
54,white,46,34
54,white,54,21
54,white,52,25
54,white,63,8
54,white,58,9
54,white,40,16
54,black,36,160
54,black,43,109
54,black,42,148
54,black,25,73
54,black,40,51
54,black,52,108
54,black,45,174
54,black,62,80
54,black,34,101
54,black,51,91
54,black,19,48
54,black,35,151
54,black,44,103
54,black,30,76
54,black,58,47
54,black,46,83
54,black,60,78
54,black,21,37
54,black,59,60
54,black,54,55
54,black,11,33
54,black,61,42
54,black,12,32
54,black,10,30
54,black,18,64
54,black,2,20
54,black,39,45
54,black,38,66
54,black,31,40
54,black,14,17
54,black,37,87
54,black,28,91
54,black,47,60
54,black,20,32
54,black,27,115
54,black,41,60
54,black,63,21
54,black,49,43
54,black,57,28
54,black,9,29
54,black,26,51
54,black,5,12
54,black,3,12
54,black,33,51
54,black,32,61
54,black,4,9
54,black,17,35
54,black,48,12
54,black,24,27
54,black,50,39
54,black,53,31
54,black,29,40
54,black,0,18
54,black,55,14
54,black,1,13
54,black,22,18
54,black,13,25
54,black,23,11
54,black,56,7
54,black,16,21
54,black,8,16
54,black,15,15
54,black,6,13
54,black,7,8
248,white,28,32
248,white,21,35
248,white,16,15
248,white,27,42
248,white,3,12
248,white,18,39
248,white,26,20
248,white,53,5
248,white,36,29
248,white,30,17
248,white,31,10
248,white,39,5
248,white,11,18
248,white,47,3
248,white,12,26
248,white,54,5
248,white,4,17
248,white,29,19
248,white,20,19
248,white,6,19
248,white,19,23
248,white,41,5
248,white,33,16
248,white,43,9
248,white,58,1
248,white,25,15
248,white,24,15
248,white,32,4
248,white,40,3
248,white,2,8
248,white,50,7
248,white,48,3
248,white,61,4
248,white,38,19
248,white,1,2
248,white,0,5
248,white,14,5
248,white,5,10
248,white,46,5
248,white,7,5
248,white,45,13
248,white,13,15
248,white,35,14
248,white,60,4
248,white,42,7
248,white,22,15
248,white,10,6
248,white,17,11
248,white,23,11
248,white,52,10
248,white,51,5
248,white,56,3
248,white,59,1
248,white,9,4
248,white,62,1
248,white,37,7
248,white,34,11
248,white,15,5
248,white,44,3
248,black,34,27
248,black,32,13
248,black,27,25
248,black,42,39
248,black,36,26
248,black,25,16
248,black,52,25
248,black,44,23
248,black,35,29
248,black,18,8
248,black,62,21
248,black,26,8
248,black,47,19
248,black,37,18
248,black,10,4
248,black,0,4
248,black,9,6
248,black,1,1
248,black,17,6
248,black,19,9
248,black,11,5
248,black,45,31
248,black,51,27
248,black,41,19
248,black,57,8
248,black,58,9
248,black,33,24
248,black,56,4
248,black,61,5
248,black,60,16
248,black,59,10
248,black,40,9
248,black,28,17
248,black,14,9
248,black,31,3
248,black,29,9
248,black,38,10
248,black,54,6
248,black,63,3
248,black,13,5
248,black,30,24
248,black,20,6
248,black,23,6
248,black,4,3
248,black,43,20
248,black,39,8
248,black,22,3
248,black,24,3
248,black,46,10
248,black,53,2
248,black,12,6
248,black,21,11
248,black,16,3
248,black,2,1
248,black,48,4
248,black,55,4
248,black,50,6
248,black,49,2
248,black,3,2
248,black,15,1
97,white,27,75
97,white,28,94
97,white,18,101
97,white,21,113
97,white,33,31
97,white,19,67
97,white,6,40
97,white,12,45
97,white,20,52
97,white,49,27
97,white,42,15
97,white,35,54
97,white,50,16
97,white,11,55
97,white,26,60
97,white,4,30
97,white,16,26
97,white,10,25
97,white,29,54
97,white,34,27
97,white,5,19
97,white,60,10
97,white,36,60
97,white,23,31
97,white,30,39
97,white,45,26
97,white,38,55
97,white,2,26
97,white,17,43
97,white,3,50
97,white,8,13
97,white,0,11
97,white,22,41
97,white,40,16
97,white,59,28
97,white,14,20
97,white,52,20
97,white,61,11
97,white,63,3
97,white,56,4
97,white,31,22
97,white,44,15
97,white,9,15
97,white,32,8
97,white,24,17
97,white,53,21
97,white,13,15
97,white,25,32
97,white,47,8
97,white,55,10
97,white,46,7
97,white,39,17
97,white,1,19
97,white,15,17
97,white,43,15
97,white,58,7
97,white,51,13
97,white,41,11
97,white,37,21
97,white,54,10
97,white,48,9
97,white,57,7
97,white,7,13
97,white,62,1
97,black,35,83
97,black,28,58
97,black,45,116
97,black,21,22
97,black,42,78
97,black,40,34
97,black,30,48
97,black,27,55
97,black,12,8
97,black,59,39
97,black,51,51
97,black,44,71
97,black,52,54
97,black,62,52
97,black,60,36
97,black,33,30
97,black,61,29
97,black,36,91
97,black,37,31
97,black,58,24
97,black,41,28
97,black,49,7
97,black,25,50
97,black,43,50
97,black,18,44
97,black,14,12
97,black,3,14
97,black,8,15
97,black,23,17
97,black,63,17
97,black,47,20
97,black,34,56
97,black,55,14
97,black,32,41
97,black,46,33
97,black,54,26
97,black,0,9
97,black,11,14
97,black,4,8
97,black,26,25
97,black,29,28
97,black,2,4
97,black,53,18
97,black,20,20
97,black,22,19
97,black,39,27
97,black,50,15
97,black,19,13
97,black,13,20
97,black,16,8
97,black,31,10
97,black,57,7
97,black,38,28
97,black,10,15
97,black,7,4
97,black,6,6
97,black,24,12
97,black,17,14
97,black,9,11
97,black,15,9
97,black,48,8
97,black,5,9
97,black,1,3
97,black,56,4
695,white,28,5
695,white,27,2
695,white,35,4
695,white,18,4
695,white,25,1
695,white,26,3
695,white,21,3
695,white,29,2
695,white,20,2
695,white,19,4
695,white,6,2
695,white,33,2
695,white,1,1
695,white,49,1
695,white,50,3
695,white,24,1
695,white,32,1
695,white,2,1
695,white,4,1
695,white,17,1
695,white,22,2
695,white,3,1
695,white,11,2
695,white,12,1
695,white,34,1
695,white,41,1
695,white,44,1
695,white,52,1
695,black,42,4
695,black,36,2
695,black,52,3
695,black,46,1
695,black,35,4
695,black,45,3
695,black,37,3
695,black,41,3
695,black,9,1
695,black,30,1
695,black,51,3
695,black,8,2
695,black,32,1
695,black,59,3
695,black,50,2
695,black,21,3
695,black,58,2
695,black,40,1
695,black,57,1
695,black,28,1
695,black,19,3
695,black,44,1
695,black,25,1
695,black,47,1
695,black,29,2
47,white,28,138
47,white,26,114
47,white,21,185
47,white,19,89
47,white,23,56
47,white,16,53
47,white,20,97
47,white,18,153
47,white,17,75
47,white,6,86
47,white,12,93
47,white,3,43
47,white,35,98
47,white,2,48
47,white,29,87
47,white,30,53
47,white,10,49
47,white,15,17
47,white,43,45
47,white,5,23
47,white,51,24
47,white,7,29
47,white,38,85
47,white,45,45
47,white,47,20
47,white,4,62
47,white,39,31
47,white,44,46
47,white,54,20
47,white,22,73
47,white,36,94
47,white,14,38
47,white,61,11
47,white,53,34
47,white,59,10
47,white,27,142
47,white,34,45
47,white,50,31
47,white,56,13
47,white,52,30
47,white,11,88
47,white,33,48
47,white,42,38
47,white,60,16
47,white,9,22
47,white,49,17
